model_type,segment_id,mape_fraction
Baseline,0,0.22175404912974575
LightGBM,0,0.04689486074398604
Prophet (Optuna),0,0.029151925573962834
SARIMA,0,0.031383066855875434
XGBoost,0,0.026981616392731667
Baseline,1,0.21618432314860817
LightGBM,1,0.2378951991304014
Prophet (Optuna),1,0.18227053830039858
SARIMA,1,0.18660588797706698
XGBoost,1,0.28188589215278625
Baseline,2,0.1195818364812253
LightGBM,2,0.03329570148342427
Prophet (Optuna),2,0.06371691426233728
SARIMA,2,0.0013584631697827194
XGBoost,2,0.06826503574848175
Baseline,Global,0.097387927776258
LightGBM,Global,0.10689907879601489
Prophet (Optuna),Global,0.06318620757347801
SARIMA,Global,0.09254320901792963
XGBoost,Global,0.09203602373600006
